Trial,Truth,Measured Stimulus,Decision,HP
1,False,-0.7535801781012218,False,999
2,False,-0.700958908316256,False,996
3,False,-1.4070465301956472,True,994
4,False,-0.5569886462904126,False,993
5,True,0.21154431013886169,False,990
6,False,-1.4261105121369526,True,988
7,True,2.01129752300481,True,990
8,False,-1.3196150102191648,False,989
9,True,1.524528933088516,True,991
10,True,0.35587552785860366,True,993
11,False,-0.3626814397096798,False,992
12,True,0.569428085184059,True,994
13,False,-1.0616617854839778,False,993
14,False,0.37634094458623124,True,991
15,False,-0.8201725026509705,False,990
16,False,-0.32467546549900206,False,987
17,True,0.5850090144984766,True,989
18,False,-1.0300975371641221,False,988
19,False,-0.668261974483084,False,985
20,False,-0.3304698448747983,True,983
21,False,-0.15579725799156746,False,982
22,False,-1.8752139966214507,False,979
23,False,0.05396490252001773,True,977
24,False,-1.9769140544065769,False,976
25,False,-0.7552283439434688,False,973
26,False,-0.8561081051894318,True,971
27,False,-0.8690552025846378,False,970
28,False,-0.641855280577235,False,967
29,True,-0.030920257213753133,True,969
30,False,-0.27253210654649584,False,968
31,True,0.7171915307720799,True,970
32,False,-1.523098233716733,False,969
33,False,-1.3824056400836815,False,966
34,True,0.6717528303329923,True,968
35,True,0.32115626293029664,True,970
36,False,-0.23159495220488874,False,969
37,True,0.03691873766818118,True,971
38,True,0.15673034650815224,True,973
39,False,-0.9451804508486173,False,972
40,True,0.4639564484745472,True,974
41,True,-0.043722036254580016,False,973
42,True,1.114742891381748,True,975
43,True,0.16142877521470464,True,977
44,True,0.42199658833073994,True,979
45,False,-1.0140207898491103,False,978
46,True,1.3189299899379874,True,980
47,True,1.3440635381506254,True,982
48,False,-1.237701997600894,False,981
49,False,-0.5578172260474852,False,978
50,False,-0.9683582627940807,True,976
51,True,0.8898132037372826,True,978
52,False,-0.5889738946111693,False,977
53,False,-1.7710114438323434,False,974
54,False,-1.1726135714934551,True,972
55,False,-2.276650672463572,False,971
56,False,-0.6088667502157605,False,968
57,False,-0.8693153894165061,True,966
58,True,0.28329935995581257,True,968
59,False,-1.2027726146519877,False,967
60,False,-0.7830057234510323,False,964
61,True,1.419072948764748,True,966
62,False,-0.3680273807426076,False,965
63,True,0.20851643699838454,True,967
64,False,-0.9089502242367822,False,966
65,False,-0.04489675902770273,True,964
66,False,-1.7794612165402988,False,963
67,False,-0.8882978784429323,False,960
68,False,-0.37971674423547497,True,958
69,True,0.6090798829126067,True,960
70,True,1.6113223936844345,True,962
71,True,0.496777405870966,True,964
72,False,-2.516146065631374,False,963
73,False,-0.45329434882472097,False,960
74,False,-2.234954978089644,True,958
75,False,-0.9528175403009743,False,957
76,True,0.8615938426294651,True,959
77,False,-0.14282275086449836,False,958
78,False,-1.2245361242313617,False,955
79,True,0.5929933556695552,True,957
80,False,-1.2303732960791862,False,956
81,True,1.0289995926301807,True,958
82,False,-0.31064067585029315,False,957
83,True,0.8833130069098867,True,959
84,True,1.3487417117942706,True,961
85,True,0.6946149914635704,True,963
86,False,-0.8287887015592142,False,962
87,True,0.8544280187574609,True,964
88,False,-0.33062973112564514,False,963
89,True,1.5815313438157368,True,965
90,True,0.8667004073715414,True,967
91,False,-0.8509747727721824,False,966
92,False,-1.076581563886362,False,963
93,True,0.9252758892312388,True,965
94,False,-0.6823956541682759,False,964
95,True,1.5390581078090946,True,966
96,True,0.3850187594153276,True,968
97,True,1.2910174286586795,True,970
98,False,-1.2778175934243223,False,969
99,True,1.3676144914586845,True,971
